"id","trial","center.N","rmse.N","rmse.V","valid.newtons","valid.volts","block","order"
511,7,15.5895939019435,1.52204924052466,0.0580956998558974,0.8552,0.8552,"Second",33
511,8,15.5895939019435,1.18925560081952,0.0453931677094361,0.9128,0.9128,"Second",33
511,9,15.5895939019435,1.48918140230938,0.0568411543306761,0.848,0.848,"Second",33
511,10,15.5895939019435,2.68737215658587,0.102575371448753,0.532,0.532,"Second",33
281,1,7.77272215840595,0.648379953732166,0.0247482710688257,0.9,0.9,"First",34
281,2,7.77272215840595,0.334791649067639,0.0127787949565876,0.9864,0.9864,"First",34
281,3,7.77272215840595,0.484567323822364,0.0184956419642873,0.934,0.934,"First",34
281,4,7.77272215840595,0.405684831613244,0.0154847448991658,0.9668,0.9668,"First",34
281,5,7.77272215840595,1.75999876597654,0.0671780894681681,0.9064,0.9064,"First",34
281,6,7.77272215840595,0.386917678461994,0.0147684140029006,0.9852,0.9852,"First",34
281,7,7.77272215840595,0.49037247759238,0.0187172211760899,0.9316,0.9316,"First",34
281,8,7.77272215840595,0.451268295290819,0.0172246381652284,0.9864,0.9864,"First",34
281,9,7.77272215840595,0.643939038203789,0.0245787640064044,0.9444,0.9444,"First",34
281,10,7.77272215840595,0.614492768932647,0.0234548177003949,0.9136,0.9136,"First",34
90,1,18.5714984094117,0.840919259515311,0.0320973800341735,0.9944,0.9944,"Second",35
90,2,18.5714984094117,3.15812212006894,0.120543613117636,0.9084,0.9084,"Second",35
90,3,18.5714984094117,2.32827578557535,0.0888688799410417,0.696,0.696,"Second",35
90,4,18.5714984094117,1.9607200080749,0.0748394979989657,0.7712,0.7712,"Second",35
90,5,18.5714984094117,4.22175752295322,0.161141933774313,0.5408,0.5408,"Second",35
90,6,18.5714984094117,3.86216102545724,0.147416352740839,0.6372,0.6372,"Second",35
90,7,18.5714984094117,1.8573328162774,0.0708932713568227,0.7876,0.7876,"Second",35
90,8,18.5714984094117,6.51320863652512,0.248605238235242,0.4208,0.4208,"Second",35
90,9,18.5714984094117,1.53118511999367,0.0584444108551346,0.9176,0.9176,"Second",35
90,10,18.5714984094117,0.848848796865222,0.0324000456836224,0.9952,0.9952,"Second",35
695,1,5.78705338666157,0.604839447662986,0.0230863562602766,0.846,0.846,"First",36
695,2,5.78705338666157,0.366542695047414,0.0139907131969699,0.9628,0.9628,"First",36
695,3,5.78705338666157,0.315020746583712,0.0120241515547812,0.984,0.984,"First",36
695,4,5.78705338666157,0.350523108617507,0.0133792552623194,0.9676,0.9676,"First",36
695,5,5.78705338666157,0.397931964524666,0.015188822646844,0.946,0.946,"First",36
695,6,5.78705338666157,0.406032399450105,0.0154980113534908,0.9216,0.9216,"First",36
695,7,5.78705338666157,0.33349533608868,0.012729315473441,0.9712,0.9712,"First",36
695,8,5.78705338666157,0.408048723211176,0.0155749732131446,0.9272,0.9272,"First",36
695,9,5.78705338666157,0.290927262975862,0.0111045178432712,0.9772,0.9772,"First",36
695,10,5.78705338666157,0.429799729186031,0.0164051959687786,0.8856,0.8856,"First",36
509,1,8.32354124363941,2.34581416627156,0.0895383093351485,0.6968,0.6968,"First",37
509,2,8.32354124363941,0.529948349440748,0.0202278082919481,0.956,0.956,"First",37
509,3,8.32354124363941,0.527623379266725,0.0201390655852027,0.9612,0.9612,"First",37
509,4,8.32354124363941,0.540608713110191,0.0206347079319894,0.9368,0.9368,"First",37
509,5,8.32354124363941,0.715827246379121,0.0273226934760533,0.86,0.86,"First",37
509,6,8.32354124363941,0.635045980823826,0.024239321379588,0.8932,0.8932,"First",37
509,7,8.32354124363941,0.577727373657488,0.0220515047771857,0.9284,0.9284,"First",37
509,8,8.32354124363941,1.43163796485478,0.0546447560920182,0.5524,0.5524,"First",37
509,9,8.32354124363941,1.37387545582724,0.0524399960237886,0.6212,0.6212,"First",37
509,10,8.32354124363941,1.10519270103212,0.0421845376171656,0.7004,0.7004,"First",37
535,1,7.20150237096977,1.45830147271,0.055662486076186,0.3128,0.3128,"Second",38
535,2,7.20150237096977,0.945716836861942,0.0360974402405413,0.6384,0.6384,"Second",38
535,3,7.20150237096977,1.22221488526141,0.0466512036818736,0.5348,0.5348,"Second",38
535,4,7.20150237096977,0.826065676586539,0.0315304277486369,0.838,0.838,"Second",38
535,5,7.20150237096977,0.476039973387518,0.0181701581505981,0.954,0.954,"Second",38
535,6,7.20150237096977,0.480225591480426,0.0183299206641638,0.9196,0.9196,"Second",38
535,7,7.20150237096977,0.479328571157669,0.0182956819404431,0.9432,0.9432,"Second",38
535,8,7.20150237096977,1.49835779182872,0.0571914115740572,0.6392,0.6392,"Second",38
535,9,7.20150237096977,1.78118946870956,0.0679869257876087,0.4636,0.4636,"Second",38
